,(1)
VARIABLES,y1
,
edad,-0.0129***
,(0.0006)
edad2,0.0001***
,(0.0000)
c318_t,-0.0016***
,(0.0001)
mujer,0.0400***
,(0.0025)
2.urbano,-0.0044*
,(0.0025)
3.urbano,0.0726***
,(0.0048)
2.idioma_materno,0.0248***
,(0.0029)
3.idioma_materno,-0.1144***
,(0.0301)
1.nivel_educativo,0.2885***
,(0.0129)
2.nivel_educativo,0.2433***
,(0.0051)
3.nivel_educativo,0.1683***
,(0.0040)
4.nivel_educativo,0.0602***
,(0.0044)
6.nivel_educativo,-0.1148***
,(0.0111)
1.categoria_ocupacional,-0.2210***
,(0.0049)
2.categoria_ocupacional,0.0161***
,(0.0032)
4o.categoria_ocupacional,-
,
5.categoria_ocupacional,0.1264***
,(0.0125)
6.categoria_ocupacional,0.3181***
,(0.0115)
2.macro_sector,-0.1743***
,(0.0109)
3.macro_sector,-0.1815***
,(0.0052)
4.macro_sector,-0.1101***
,(0.0137)
5.macro_sector,-0.0531***
,(0.0046)
6.macro_sector,-0.2108***
,(0.0043)
7.macro_sector,-0.1207***
,(0.0038)
2.c317,-0.3416***
,(0.0089)
3.c317,-0.4860***
,(0.0117)
4.c317,-0.5954***
,(0.0101)
5.c317,-0.5251***
,(0.0057)
,
Observations,"91,725"
Standard errors in parentheses,
"*** p<0.01, ** p<0.05, * p<0.1",
